documents	dimension	vector_build_ms	exact_scan_us	raw_vector_bytes	peak_rss_kib	posture
1000	384	25	624	1536000	16404	admitted
1000	768	37	994	3072000	27712	admitted
1000	1024	42	1245	4096000	34196	admitted
1000	1536	59	1834	6144000	43092	admitted
10000	384	245	6515	15360000	121508	admitted
10000	768	360	10628	30720000	183512	admitted
10000	1024	427	13498	40960000	224364	admitted
10000	1536	586	18881	61440000	305808	admitted
50000	384	1226	36881	76800000	525904	admitted maximum characterized product cross-product
50000	768	-	-	153600000	-	refused before allocation: 38.4m > 25m elements
50000	1024	-	-	204800000	-	refused
50000	1536	-	-	307200000	-	refused
