operation_id	path	visibility	lane	mutation	output	positionals	flags	aliases	legacy_path	removed_successor
yai.meta.help	help	product	inspection	read_only	structured	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--advanced", "repeatable": false, "required": false, "value_name": null}]	[]	help	-
yai.meta.version	version	product	inspection	read_only	structured	[]	[]	[]	version	-
yai.meta.completion	completion	product	inspection	read_only	structured	[{"choices": ["bash", "zsh", "fish"], "legacy_flag": null, "name": "shell", "required": true}]	[]	[]	completion	-
yai.init	init	product	local_domain	mutating	structured	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--tenant", "repeatable": false, "required": true, "value_name": "TENANT"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--organization", "repeatable": false, "required": true, "value_name": "ORGANIZATION"}]	[]	security bootstrap-local	-
yai.doctor	doctor	product	inspection	read_only	structured	[]	[]	[]	doctor	-
yai.identity.whoami	identity whoami	product	local_domain	read_only	structured	[]	[]	[]	identity whoami	-
yai.tenant.list	tenant list	product	local_domain	read_only	structured	[]	[]	[]	tenant list	-
yai.tenant.show	tenant show	product	local_domain	read_only	structured	[{"choices": [], "legacy_flag": "--tenant", "name": "tenant", "required": true}]	[]	[["tenant", "status"]]	tenant status	-
yai.tenant.member.add	tenant member add	product	local_domain	mutating	structured	[{"choices": [], "legacy_flag": "--tenant", "name": "tenant", "required": true}]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--principal", "repeatable": false, "required": true, "value_name": "PRINCIPAL"}]	[]	tenant add-member	-
yai.case.create	case create	product	local_domain	mutating	structured	[{"choices": [], "legacy_flag": "--case", "name": "case", "required": true}]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--tenant", "repeatable": false, "required": true, "value_name": "TENANT"}]	[]	case create	-
yai.case.list	case list	product	local_domain	read_only	structured	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--tenant", "repeatable": false, "required": false, "value_name": "TENANT"}]	[]	case list	-
